,record_num,id,latitude,longitude,occupancy_status,current_status,bikes_allowed,headsign,bearing,current_stop_sequence,updated_at
10775,10776,y3204,42.34881597,-71.09610827,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,79.0,1.0,2024-07-25 18:55:03-04:00
10785,10786,y3204,42.3488625,-71.09606143,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,1.0,2024-07-25 18:55:08-04:00
10795,10796,y3204,42.34900499,-71.09566964,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,83.0,1.0,2024-07-25 18:55:22-04:00
10805,10806,y3204,42.34900803,-71.09534227,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,136.0,1.0,2024-07-25 18:55:33-04:00
10815,10816,y3204,42.3491496,-71.09548391,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,257.0,1.0,2024-07-25 18:55:43-04:00
10825,10826,y3204,42.34909527,-71.09596066,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,257.0,1.0,2024-07-25 18:55:52-04:00
10835,10836,y3204,42.34897982,-71.0964053,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,275.0,1.0,2024-07-25 18:56:05-04:00
10845,10846,y3204,42.34898403,-71.09643458,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,253.0,1.0,2024-07-25 18:56:11-04:00
10855,10856,y3204,42.34896386,-71.09636728,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,1.0,2024-07-25 18:56:23-04:00
10865,10866,y3204,42.34898287,-71.09670636,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,267.0,1.0,2024-07-25 18:56:35-04:00
10875,10876,y3204,42.34889125,-71.09681812,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,228.0,1.0,2024-07-25 18:56:42-04:00
10885,10886,y3204,42.34887848,-71.09692981,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,1.0,2024-07-25 18:56:54-04:00
10915,10916,y3204,42.34891,-71.0969,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,270.0,1.0,2024-07-25 18:57:22-04:00
10935,10936,y3204,42.34889558,-71.09694474,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,1.0,2024-07-25 18:57:45-04:00
10945,10946,y3204,42.34874604,-71.09710077,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,196.0,1.0,2024-07-25 18:57:53-04:00
10955,10956,y3204,42.34791975,-71.09773088,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,217.0,1.0,2024-07-25 18:58:07-04:00
10965,10966,y3204,42.34744812,-71.09821798,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,217.0,1.0,2024-07-25 18:58:15-04:00
10975,10976,y3204,42.34709591,-71.09863909,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,212.0,1.0,2024-07-25 18:58:27-04:00
10985,10986,y3204,42.34660636,-71.09920287,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,219.0,1.0,2024-07-25 18:58:38-04:00
10995,10996,y3204,42.34610777,-71.0997266,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,216.0,1.0,2024-07-25 18:58:46-04:00
11005,11006,y3204,42.3453568,-71.1004267,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,211.0,1.0,2024-07-25 18:59:00-04:00
11015,11016,y3204,42.34500119,-71.10080838,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,220.0,1.0,2024-07-25 18:59:07-04:00
11025,11026,y3204,42.34483744,-71.10101668,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,242.0,1.0,2024-07-25 18:59:15-04:00
11035,11036,y3204,42.34444244,-71.10147475,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,223.0,1.0,2024-07-25 18:59:28-04:00
11045,11046,y3204,42.34418579,-71.10172549,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,226.0,1.0,2024-07-25 18:59:38-04:00
