,record_num,id,latitude,longitude,occupancy_status,current_status,bikes_allowed,headsign,bearing,current_stop_sequence,updated_at
0,1,y3286,42.35778728,-71.0928322,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,337.0,15,2024-07-25 11:56:49-04:00
1,2,y3277,42.33296696,-71.07421624,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,220.0,20,2024-07-25 11:56:51-04:00
2,3,y3272,42.36604708,-71.10489088,FULL,IN_TRANSIT_TO,1,Nubian,239.0,7,2024-07-25 11:56:44-04:00
3,4,y3264,42.37027025,-71.11333891,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,108.0,3,2024-07-25 11:56:47-04:00
4,5,y3263,42.33294,-71.07417,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,225.0,20,2024-07-25 11:56:50-04:00
5,6,y3204,42.33475699,-71.07507018,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,129.0,18,2024-07-25 11:56:50-04:00
6,7,y3202,42.34693,-71.08754,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,13,2024-07-25 11:56:51-04:00
7,8,y1834,42.35936,-71.09381,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,315.0,15,2024-07-25 11:56:51-04:00
8,9,y3286,42.35778728,-71.0928322,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,337.0,15,2024-07-25 11:56:49-04:00
9,10,y3277,42.33296696,-71.07421624,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,220.0,20,2024-07-25 11:56:51-04:00
10,11,y3272,42.36604708,-71.10489088,FULL,IN_TRANSIT_TO,1,Nubian,239.0,7,2024-07-25 11:56:44-04:00
11,12,y3264,42.37027025,-71.11333891,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,108.0,3,2024-07-25 11:56:47-04:00
12,13,y3263,42.33294,-71.07417,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,225.0,20,2024-07-25 11:56:50-04:00
13,14,y3204,42.33475699,-71.07507018,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,129.0,18,2024-07-25 11:56:50-04:00
14,15,y3202,42.34693,-71.08754,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,13,2024-07-25 11:56:51-04:00
15,16,y1834,42.35936,-71.09381,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,315.0,15,2024-07-25 11:56:51-04:00
16,17,y3286,42.35815474,-71.09297797,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,332.0,15,2024-07-25 11:56:56-04:00
17,18,y3277,42.33256615,-71.07481955,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,230.0,20,2024-07-25 11:56:58-04:00
18,19,y3272,42.36542798,-71.10398962,FULL,IN_TRANSIT_TO,1,Nubian,133.0,7,2024-07-25 11:57:00-04:00
19,20,y3264,42.3698457,-71.11247003,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,109.0,3,2024-07-25 11:57:00-04:00
20,21,y3263,42.33268085,-71.07454205,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,222.0,20,2024-07-25 11:56:59-04:00
21,22,y3204,42.33462827,-71.07500157,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,173.0,18,2024-07-25 11:57:00-04:00
22,23,y3202,42.34702814,-71.08759975,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,13,2024-07-25 11:56:57-04:00
23,24,y1834,42.35936,-71.09381,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,315.0,15,2024-07-25 11:56:51-04:00
24,25,y3286,42.35847502,-71.09276234,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,70.0,15,2024-07-25 11:57:08-04:00
25,26,y3277,42.33181512,-71.07618422,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,233.0,20,2024-07-25 11:57:10-04:00
26,27,y3272,42.36520017,-71.10319394,FULL,IN_TRANSIT_TO,1,Nubian,132.0,7,2024-07-25 11:57:06-04:00
27,28,y3264,42.36974138,-71.11213067,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,122.0,4,2024-07-25 11:57:08-04:00
28,29,y3263,42.33216838,-71.07555007,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,235.0,20,2024-07-25 11:57:08-04:00
29,30,y3204,42.33446217,-71.0748559,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,145.0,18,2024-07-25 11:57:05-04:00
30,31,y3202,42.34702814,-71.08759975,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,13,2024-07-25 11:56:57-04:00
31,32,y1834,42.35936,-71.09381,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,315.0,15,2024-07-25 11:56:51-04:00
32,33,y3286,42.3582998,-71.09300185,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,276.0,15,2024-07-25 11:57:18-04:00
33,34,y3277,42.3314137,-71.07678657,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,209.0,20,2024-07-25 11:57:19-04:00
34,35,y3272,42.36487819,-71.10267739,FULL,STOPPED_AT,1,Nubian,181.0,7,2024-07-25 11:57:20-04:00
35,36,y3264,42.36948017,-71.11148708,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,119.0,4,2024-07-25 11:57:20-04:00
36,37,y3263,42.33160752,-71.07648987,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,230.0,20,2024-07-25 11:57:18-04:00
37,38,y3204,42.3337717,-71.07387518,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,137.0,19,2024-07-25 11:57:20-04:00
38,39,y3202,42.34708353,-71.08767579,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,13,2024-07-25 11:57:15-04:00
39,40,y1834,42.35936,-71.09381,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,315.0,15,2024-07-25 11:56:51-04:00
40,41,y3286,42.35864848,-71.09332678,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,320.0,15,2024-07-25 11:57:30-04:00
41,42,y3277,42.33134758,-71.076763,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,5.0,20,2024-07-25 11:57:31-04:00
42,43,y3272,42.36487938,-71.10270045,FULL,STOPPED_AT,1,Nubian,338.0,7,2024-07-25 11:57:30-04:00
43,44,y3264,42.36911904,-71.11049425,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,124.0,4,2024-07-25 11:57:31-04:00
44,45,y3263,42.33150267,-71.07662748,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,0.0,20,2024-07-25 11:57:25-04:00
